date,state,regime,prob_Risk-On,prob_Late-Cycle,prob_Transitional,prob_Post-Shock,prob_Risk-Off
2011-04-29,4,Risk-Off,0.0078672537255455,0.0553183911794392,0.1168236411831778,1.6917049227890956e-06,0.8199890222070213
2011-05-02,4,Risk-Off,0.0003810323812072,0.0041786094983744,0.0118777280438933,2.0105996394811943e-06,0.983560619476761
2011-05-03,4,Risk-Off,2.165829887019656e-06,2.310153672316213e-05,9.372905072157638e-05,4.339806805933093e-06,0.9998766637759005
2011-05-04,4,Risk-Off,1.0374499804901822e-08,5.301579466751833e-08,5.9941471627040586e-06,7.705146016660926e-06,0.999986237317108
2011-05-05,4,Risk-Off,3.137945331469435e-09,2.3351127341399006e-09,4.004672740244819e-06,1.9108737251886253e-05,0.9999768811174722
2011-05-06,4,Risk-Off,2.882913220364588e-09,2.046398390294841e-09,3.764895862553303e-06,1.9820651707056732e-05,0.9999764095227416
2011-05-09,4,Risk-Off,2.395373433511298e-09,1.668946443009221e-09,3.0631743154287307e-06,2.20987264351658e-05,0.9999748340343836
2011-05-10,4,Risk-Off,7.805444876352748e-09,5.434340507996169e-09,9.912763822997576e-06,3.1267464405568266e-05,0.9999588065319652
2011-05-11,4,Risk-Off,5.239440700338622e-09,3.886552836613869e-09,6.188609102847827e-06,1.776200095897542e-05,0.9999760402639392
2011-05-12,4,Risk-Off,2.243937016388525e-09,1.5651395724243719e-09,2.8347787694916987e-06,2.3583320574597495e-05,0.9999735780909766
2011-05-13,4,Risk-Off,8.465058720474297e-09,5.892253292849325e-09,1.0300034140476177e-05,1.3415875394369694e-05,0.9999762697330756
2011-05-16,4,Risk-Off,1.705747553912339e-09,1.2804516627045715e-09,2.104096384220676e-06,3.173182750707618e-05,0.9999661610904914
2011-05-17,4,Risk-Off,7.66463289707674e-09,5.15701109748126e-09,9.201640871271493e-06,3.478020406458546e-05,0.9999560053330246
2011-05-18,4,Risk-Off,2.0339066017374084e-08,1.5708669154479816e-08,2.1916045453580625e-05,1.3697020162324976e-05,0.999964350886038
2011-05-19,4,Risk-Off,6.159239979631621e-09,5.221471813860021e-09,6.045860909773438e-06,6.47629065595959e-06,0.9999874664684844
2011-05-20,4,Risk-Off,3.839896048248083e-09,3.0316034815891893e-09,4.598696833105504e-06,1.4837133675556829e-05,0.9999805572986776
2011-05-23,4,Risk-Off,1.4037585955476006e-09,1.042545817641263e-09,2.023538250587448e-06,0.0001104310769311,0.9998875429383208
2011-05-24,4,Risk-Off,1.243783596156049e-09,9.169424813683103e-10,1.8289974145666349e-06,0.0001353734810604,0.9998627953611158
2011-05-25,4,Risk-Off,8.09239059337505e-10,5.853833882916784e-10,1.2465599123604296e-06,0.0001779453797484,0.9998208066653264
2011-05-26,4,Risk-Off,3.128684323027559e-09,2.22187244610424e-09,4.247360503522581e-06,6.992323681770703e-05,0.9999258240522478
2011-05-27,4,Risk-Off,8.214380186825649e-09,5.917505874502481e-09,9.627236691605136e-06,1.4342285407547643e-05,0.9999760163466208
