date,prob_Risk-On,prob_Late-Cycle,prob_Transitional,prob_Post-Shock,prob_Risk-Off,regime_call,confidence
2023-10-20,0.007956203906739593,0.0017632754294608461,0.967935857889105,0.008547017410688562,0.013797645364006166,Transitional,0.967935857889105
2023-10-23,0.0032249326991769804,0.00048409009422442693,0.9889465558215371,0.00432933469089849,0.003015086694163015,Transitional,0.9889465558215371
2023-10-25,0.02084038603316091,0.004247132577332902,0.9435749840096789,0.014373452654834223,0.016964044724993015,Transitional,0.9435749840096789
2023-10-26,0.006611488651909482,0.0019412869198548327,0.9690780547453998,0.006288996941958214,0.016080172740877616,Transitional,0.9690780547453998
2023-10-27,0.014494352438779891,0.004322336187119275,0.9186700472790222,0.01502037000835758,0.047492894086721096,Transitional,0.9186700472790222
2023-10-30,0.019751032658244846,0.004017856938711582,0.9322785306099429,0.013926832468805423,0.03002574732429518,Transitional,0.9322785306099429
2023-10-31,0.005826327758049867,0.001511749131556455,0.9150372066463952,0.025679021342354412,0.05194569512164402,Transitional,0.9150372066463952
2023-11-01,0.018227787488888984,0.003378081485254696,0.9383591691953884,0.014502796637995315,0.02553216519247262,Transitional,0.9383591691953884
2023-11-02,0.004455611095403159,0.001846221853811008,0.841527541367223,0.053919268941769447,0.09825135674179349,Transitional,0.841527541367223
2023-11-03,0.019062036344789843,0.005419196594146101,0.8681402966589992,0.051653493608829364,0.055724976793235695,Transitional,0.8681402966589992
2023-11-06,0.03341075360921049,0.005081479517628344,0.9130945312106651,0.02042751153156839,0.027985724130927637,Transitional,0.9130945312106651
2023-11-07,0.053887628782046004,0.011665667421298936,0.8803950498507492,0.027004888244447522,0.027046765701458197,Transitional,0.8803950498507492
2023-11-08,0.03225148668534471,0.008326584576703355,0.8562871601763427,0.052271738146711495,0.05086303041489787,Transitional,0.8562871601763427
2023-11-09,0.002976466345590052,0.00195393699611381,0.7749946665072864,0.1260124572397983,0.09406247291121134,Transitional,0.7749946665072864
