date,strategy,buyhold
2020-06-16,0.9946824639816372,0.9126770581730105
2020-06-17,0.9922105860513745,0.9096529422917812
2020-06-18,1.008063522205627,0.9290314495285593
2020-06-19,1.0195072675587127,0.9430935254450338
2020-06-22,1.024493129377385,0.949243076507039
2020-06-23,1.0364010886021204,0.9639541533316112
2020-06-24,1.0241005540623804,0.9486998899871986
2020-06-25,1.02287826761145,0.9471901694927136
2020-06-26,1.0299347980436377,0.9558529246530529
2020-06-29,1.0243889586867483,0.9493535657875558
2020-06-30,1.0233657239229061,0.9484052818730779
2020-07-01,1.036874748322427,0.9601843022332225
2020-07-02,1.049220227885629,0.9713833662478708
2020-07-03,1.0547537902332682,0.9765064188518262
2020-07-06,1.0711032219885388,0.9908953776193664
2020-07-07,1.074751294147274,0.9942095166242311
2020-07-08,1.0654065873563248,0.9855651014258328
2020-07-09,1.076669548047477,0.9954799185957411
2020-07-10,1.0720686401010813,0.9913003851122298
2020-07-13,1.075518438145305,0.9944902798651217
2020-07-14,1.0550515973942685,0.9765064188518263
2020-07-15,1.056150835401483,0.9775053174651903
2020-07-16,1.068260831619759,0.9887135514608091
2020-07-17,1.0851801774830332,1.0036041621284997
2020-07-20,1.097401158918713,1.0146973218531161
2020-07-21,1.111344910188606,1.0275902251958529
2020-07-22,1.1082392767417435,1.0248606275269698
2020-07-23,1.1166435011585543,1.0324878041500631
2020-07-24,1.1145228294007514,1.0305269565525397
2020-07-27,1.1079795836294233,1.024786997973883
2020-07-28,1.1250990436854218,1.0403220245591862
2020-07-29,1.1153718712722374,1.0313278015572958
2020-07-30,1.1047966990942213,1.0220574902067743
2020-07-31,1.1018876223052734,1.0194153669642079
2020-08-03,1.0837921862650848,1.0026743080777367
2020-08-04,1.105187390757722,1.0214222442701322
2020-08-05,1.105836464162516,1.0220114604983734
2020-08-06,1.1156480586450797,1.0310793130533504
2020-08-07,1.117109120074485,1.032358885005831
2020-08-10,1.1227982266764034,1.0375234722294762
2020-08-11,1.1280136006098647,1.0423427467383406
2020-08-12,1.1265325036669351,1.041044744922145
2020-08-13,1.1257260054550922,1.0403128545782159
2020-08-14,1.1135676722274102,1.0290770207379114
2020-08-17,1.1207855872581494,1.0354014307507753
2020-08-18,1.1348219490684974,1.0481286451236238
2020-08-19,1.1371195098288747,1.0502506866023245
2020-08-20,1.127004874107699,1.0413945527256367
2020-08-21,1.1330363392452725,1.046862828142599
2020-08-24,1.1424870026837999,1.0555947177673137
2020-08-25,1.1430963069195854,1.0561286444044093
2020-08-26,1.1509519483217312,1.0632494043333187
2020-08-27,1.15191363844672,1.0641378136661659
2020-08-28,1.161208417761855,1.0722712271798949
2020-08-31,1.1347776122082194,1.0483266088304573
2020-09-01,1.1430237458995678,1.0559445255708058
2020-09-02,1.1498302441279777,1.0619053728087222
2020-09-03,1.149063522032656,1.0612103421922234
2020-09-04,1.1297652932504236,1.0433875851583312
2020-09-07,1.1319982484174478,1.045339262774884
2020-09-08,1.1281723656547196,1.0418686047811014
2020-09-09,1.1242497916043952,1.0382461026906604
2020-09-10,1.142344415122304,1.054011277817968
2020-09-11,1.1438883564137547,1.0554105989337101
2020-09-14,1.1414537588314566,1.0531643132030366
2020-09-15,1.1501694067258323,1.0606901705265834
2020-09-16,1.1585999722170568,1.0683080872669322
2020-09-17,1.1497690916093264,1.0601654138704584
2020-09-18,1.1485600043729594,1.059139005314183
2020-09-21,1.1224713842646936,1.0357190537190961
2020-09-22,1.1163730858794856,1.0267985501720664
2020-09-23,1.1151309647094332,1.024791582964368
2020-09-24,1.0971423893595325,0.9947526132422966
2020-09-25,1.1108077698863845,1.0172795705140512
2020-09-28,1.1206105529572783,1.0336016871326548
2020-09-29,1.1203278669607373,1.03312763507719
2020-09-30,1.1217089633415902,1.0354428754686908
2020-10-01,1.131001862397232,1.051037776635625
2020-10-05,1.1357154928290782,1.0589916563062356
2020-10-06,1.1446746610710927,1.0736337784699808
2020-10-07,1.150500714134056,1.0806716489630588
2020-10-08,1.159884976395186,1.089486338121831
2020-10-09,1.1681909617903554,1.0968143216403186
2020-10-12,1.1698682416100423,1.0983563168717485
2020-10-13,1.170216311436824,1.09868310982104
2020-10-14,1.174010869183453,1.1020478635247906
2020-10-15,1.1449317629804734,1.0752861730801535
2020-10-16,1.1529794303656777,1.0828443051406456
2020-10-19,1.164389472814034,1.0930260406782144
2020-10-20,1.1667610707404894,1.0952124518272572
2020-10-21,1.1707674316250387,1.098973132944675
2020-10-22,1.1665087367737375,1.0951802669920863
2020-10-23,1.1698963448373652,1.0983010272806026
2020-10-26,1.1539517417948595,1.0833322020693401
2020-10-27,1.1665262386415507,1.0945312660839883
2020-10-28,1.150539947945576,1.079820099357642
2020-10-29,1.1447723577057272,1.0744070236300511
2020-10-30,1.1418386402912837,1.0717925901339447
2020-11-02,1.1445115859442947,1.0742551795333928
2020-11-03,1.1586694119064103,1.0875439203880226
2020-11-04,1.1684940371666865,1.0962895649841933
2020-11-05,1.1896648114531985,1.115787731482459
2020-11-06,1.2037254771947143,1.1289752429393163
2020-11-09,1.224182169545001,1.147156977757671
2020-11-10,1.2411970978244817,1.1628116636044616
2020-11-11,1.2527973774212526,1.173679349679333
2020-11-12,1.2467463651089512,1.1683076287678835
2020-11-13,1.2496621317540715,1.1709911967283655
2020-11-17,1.2648163093147744,1.1851913617700425
2020-11-18,1.2714554162460756,1.1910877494358425
2020-11-19,1.2547870859152455,1.175755271547858
2020-11-20,1.2633689630441587,1.1837966256447852
2020-11-23,1.2703499867004242,1.190001466297936
2020-11-24,1.2832319900752336,1.2018495312206818
2020-11-25,1.2638928107863754,1.1837368409649283
2020-11-26,1.2772030810921573,1.1955756460049296
2020-11-27,1.2753948997134557,1.193913991512012
2020-12-01,1.2891726014208233,1.206811479845234
2020-12-02,1.289659208654106,1.2072441770845574
2020-12-03,1.2916775048369147,1.2090992102938234
2020-12-04,1.3039363799118742,1.2205743626571026
2020-12-07,1.3140028978839695,1.229522555950592
2020-12-08,1.3177314298636125,1.2329471842359738
2020-12-09,1.331127161158907,1.245481019892474
2020-12-10,1.3258605857467014,1.2408044194992975
2020-12-11,1.329425234844459,1.2440771137862465
2020-12-14,1.3337833251162508,1.2481554178719856
